asmbl,id,len,type,description
GCF_002012085.1_ASM201208v1_genomic,NZ_CP018991.1,5434745,chromosome,"NZ_CP018991.1 Escherichia coli strain Ecol_AZ146 chromosome, complete genome"
GCF_002012085.1_ASM201208v1_genomic,NZ_CP018990.1,150994,plasmid,"NZ_CP018990.1 Escherichia coli strain Ecol_AZ146 plasmid pECAZ146_1, complete sequence"
GCF_002012085.1_ASM201208v1_genomic,NZ_CP018988.1,34532,plasmid,"NZ_CP018988.1 Escherichia coli strain Ecol_AZ146 plasmid pECAZ146_3, complete sequence"
GCF_002012085.1_ASM201208v1_genomic,NZ_CP018987.1,6994,plasmid,"NZ_CP018987.1 Escherichia coli strain Ecol_AZ146 plasmid pECAZ146_4, complete sequence"
GCF_002012085.1_ASM201208v1_genomic,NZ_CP018986.1,6075,plasmid,"NZ_CP018986.1 Escherichia coli strain Ecol_AZ146 plasmid pECAZ146_5, complete sequence"
GCF_002012085.1_ASM201208v1_genomic,NZ_CP018985.1,5631,plasmid,"NZ_CP018985.1 Escherichia coli strain Ecol_AZ146 plasmid pECAZ146_6, complete sequence"
GCF_002012085.1_ASM201208v1_genomic,NZ_CP018984.1,2571,plasmid,"NZ_CP018984.1 Escherichia coli strain Ecol_AZ146 plasmid pECAZ146_7, complete sequence"
GCF_002012085.1_ASM201208v1_genomic,NZ_CP018989.1,85865,plasmid,"NZ_CP018989.1 Escherichia coli strain Ecol_AZ146 plasmid pECAZ146_KPC, complete sequence"
GCF_955652485.1_ARM42.1_genomic,NZ_OY019088.1,5159704,chromosome,"NZ_OY019088.1 Escherichia coli O25b:H4-ST131 isolate 42 chromosome C, complete sequence"
GCF_955652485.1_ARM42.1_genomic,NZ_OY019089.1,168227,plasmid,NZ_OY019089.1 Escherichia coli O25b:H4-ST131 isolate 42 plasmid P1
GCF_955652485.1_ARM42.1_genomic,NZ_OY019090.1,100743,plasmid,NZ_OY019090.1 Escherichia coli O25b:H4-ST131 isolate 42 plasmid P2
GCF_030707935.1_ASM3070793v1_genomic,NZ_CP107164.1,5100590,chromosome,"NZ_CP107164.1 Escherichia coli strain R9 chromosome, complete genome"
GCF_030707935.1_ASM3070793v1_genomic,NZ_CP107165.1,110949,plasmid,"NZ_CP107165.1 Escherichia coli strain R9 plasmid pR9-658-1, complete sequence"
GCF_030707935.1_ASM3070793v1_genomic,NZ_CP107166.1,36037,plasmid,"NZ_CP107166.1 Escherichia coli strain R9 plasmid pR9-658-2, complete sequence"
GCF_030707935.1_ASM3070793v1_genomic,NZ_CP107167.1,15472,plasmid,"NZ_CP107167.1 Escherichia coli strain R9 plasmid pR9-658-3, complete sequence"
GCF_030707935.1_ASM3070793v1_genomic,NZ_CP107168.1,4082,plasmid,"NZ_CP107168.1 Escherichia coli strain R9 plasmid pR9-658-4, complete sequence"
GCF_030707935.1_ASM3070793v1_genomic,NZ_CP107169.1,4073,plasmid,"NZ_CP107169.1 Escherichia coli strain R9 plasmid pR9-658-5, complete sequence"
GCF_030707935.1_ASM3070793v1_genomic,NZ_CP107170.1,3373,plasmid,"NZ_CP107170.1 Escherichia coli strain R9 plasmid pR9-658-6, complete sequence"
GCF_030707935.1_ASM3070793v1_genomic,NZ_CP107171.1,1822,plasmid,"NZ_CP107171.1 Escherichia coli strain R9 plasmid pR9-658-7, complete sequence"
GCF_019428605.1_ASM1942860v1_genomic,NZ_CP080120.1,5271974,chromosome,"NZ_CP080120.1 Escherichia coli strain M24 chromosome, complete genome"
GCF_030708155.1_ASM3070815v1_genomic,NZ_CP107117.1,5287038,chromosome,"NZ_CP107117.1 Escherichia coli strain S13 chromosome, complete genome"
GCF_030708155.1_ASM3070815v1_genomic,NZ_CP107118.1,108327,plasmid,"NZ_CP107118.1 Escherichia coli strain S13 plasmid pS13-S6K44-1, complete sequence"
GCF_030708155.1_ASM3070815v1_genomic,NZ_CP107119.1,6896,plasmid,"NZ_CP107119.1 Escherichia coli strain S13 plasmid pS13-S6K44-2, complete sequence"
GCF_029990455.1_ASM2999045v1_genomic,NZ_CP124385.1,5284052,chromosome,"NZ_CP124385.1 Escherichia coli strain AVS0153 chromosome, complete genome"
GCF_029990455.1_ASM2999045v1_genomic,NZ_CP124386.1,108862,plasmid,"NZ_CP124386.1 Escherichia coli strain AVS0153 plasmid pAVS0153-A, complete sequence"
GCF_030708335.1_ASM3070833v1_genomic,NZ_CP107143.1,5118474,chromosome,"NZ_CP107143.1 Escherichia coli strain S2 chromosome, complete genome"
GCF_030708335.1_ASM3070833v1_genomic,NZ_CP107144.1,129206,plasmid,"NZ_CP107144.1 Escherichia coli strain S2 plasmid pS2-S1K81-1, complete sequence"
GCF_030708335.1_ASM3070833v1_genomic,NZ_CP107145.1,111932,plasmid,"NZ_CP107145.1 Escherichia coli strain S2 plasmid pS2-S1K81-2, complete sequence"
GCF_030708335.1_ASM3070833v1_genomic,NZ_CP107146.1,4073,plasmid,"NZ_CP107146.1 Escherichia coli strain S2 plasmid pS2-S1K81-3, complete sequence"
GCF_029989405.1_ASM2998940v1_genomic,NZ_CP124349.1,5285512,chromosome,"NZ_CP124349.1 Escherichia coli strain AVS0453 chromosome, complete genome"
GCF_029989405.1_ASM2998940v1_genomic,NZ_CP124350.1,105823,plasmid,"NZ_CP124350.1 Escherichia coli strain AVS0453 plasmid pAVS0453-A, complete sequence"
GCF_001513635.1_ASM151363v1_genomic,NZ_CP013835.1,5128614,chromosome,"NZ_CP013835.1 Escherichia coli strain JJ2434 chromosome, complete genome"
GCF_001513635.1_ASM151363v1_genomic,NZ_CP013833.1,126302,plasmid,"NZ_CP013833.1 Escherichia coli strain JJ2434 plasmid pJJ2434_1, complete sequence"
GCF_001513635.1_ASM151363v1_genomic,NZ_CP013834.1,62183,plasmid,"NZ_CP013834.1 Escherichia coli strain JJ2434 plasmid pJJ2434_2, complete sequence"
GCF_019915525.1_ASM1991552v1_genomic,NZ_CP082831.1,5449567,chromosome,"NZ_CP082831.1 Escherichia coli strain SCAID WND1-2021 (1/128) chromosome, complete genome"
GCF_019915525.1_ASM1991552v1_genomic,NZ_CP082832.1,186443,plasmid,"NZ_CP082832.1 Escherichia coli strain SCAID WND1-2021 (1/128) plasmid unnamed, complete sequence"
GCF_016890045.1_ASM1689004v1_genomic,NZ_CP069583.1,5213760,chromosome,"NZ_CP069583.1 Escherichia coli strain FDAARGOS_1265 chromosome, complete genome"
GCF_016890045.1_ASM1689004v1_genomic,NZ_CP069584.1,206267,plasmid,"NZ_CP069584.1 Escherichia coli strain FDAARGOS_1265 plasmid unnamed1, complete sequence"
GCF_016890045.1_ASM1689004v1_genomic,NZ_CP069585.1,5251,plasmid,"NZ_CP069585.1 Escherichia coli strain FDAARGOS_1265 plasmid unnamed2, complete sequence"
GCF_026001205.1_ASM2600120v1_genomic,NZ_AP026794.1,5198889,chromosome,"NZ_AP026794.1 Escherichia coli strain IPCEC48 chromosome, complete genome"
GCF_026001205.1_ASM2600120v1_genomic,NZ_AP026795.1,165477,plasmid,"NZ_AP026795.1 Escherichia coli strain IPCEC48 plasmid pIPCEC48_1, complete sequence"
GCF_026001205.1_ASM2600120v1_genomic,NZ_AP026796.1,60947,plasmid,"NZ_AP026796.1 Escherichia coli strain IPCEC48 plasmid pIPCEC48_2, complete sequence"
GCF_026001205.1_ASM2600120v1_genomic,NZ_AP026797.1,30638,plasmid,"NZ_AP026797.1 Escherichia coli strain IPCEC48 plasmid pIPCEC48_3, complete sequence"
GCF_024579775.1_ASM2457977v1_genomic,NZ_CP102061.1,5138173,chromosome,"NZ_CP102061.1 Escherichia coli strain C31 chromosome, complete genome"
GCF_024579775.1_ASM2457977v1_genomic,NZ_CP102063.1,41190,plasmid,"NZ_CP102063.1 Escherichia coli strain C31 plasmid pNDM1, complete sequence"
GCF_024579775.1_ASM2457977v1_genomic,NZ_CP102064.1,1546,plasmid,"NZ_CP102064.1 Escherichia coli strain C31 plasmid pC31, complete sequence"
GCF_024579775.1_ASM2457977v1_genomic,NZ_CP102062.1,152865,plasmid,"NZ_CP102062.1 Escherichia coli strain C31 plasmid pMDR31, complete sequence"
GCF_030708215.1_ASM3070821v1_genomic,NZ_CP107126.1,5241944,chromosome,"NZ_CP107126.1 Escherichia coli strain S8 chromosome, complete genome"
GCF_030708215.1_ASM3070821v1_genomic,NZ_CP107127.1,140908,plasmid,"NZ_CP107127.1 Escherichia coli strain S8 plasmid pS8-566, complete sequence"
GCF_030708275.1_ASM3070827v1_genomic,NZ_CP107137.1,5258595,chromosome,"NZ_CP107137.1 Escherichia coli strain S5 chromosome, complete genome"
GCF_030708275.1_ASM3070827v1_genomic,NZ_CP107138.1,158955,plasmid,"NZ_CP107138.1 Escherichia coli strain S5 plasmid pS5-88-1, complete sequence"
GCF_030708275.1_ASM3070827v1_genomic,NZ_CP107139.1,89263,plasmid,"NZ_CP107139.1 Escherichia coli strain S5 plasmid pS5-88-2, complete sequence"
GCF_002202175.1_ASM220217v1_genomic,NZ_CP021935.1,5141314,chromosome,"NZ_CP021935.1 Escherichia coli strain AR_0055 chromosome, complete genome"
GCF_002202175.1_ASM220217v1_genomic,NZ_CP021936.1,138340,plasmid,"NZ_CP021936.1 Escherichia coli strain AR_0055 plasmid unitig_2, complete sequence"
GCF_002202175.1_ASM220217v1_genomic,NZ_CP021937.1,151110,plasmid,"NZ_CP021937.1 Escherichia coli strain AR_0055 plasmid unitig_3j3rc_linear, complete sequence"
GCF_002202175.1_ASM220217v1_genomic,NZ_CP021938.1,75318,plasmid,"NZ_CP021938.1 Escherichia coli strain AR_0055 plasmid unitig_4, complete sequence"
GCF_001874485.1_ASM187448v1_genomic,NZ_CP015085.1,5289898,chromosome,"NZ_CP015085.1 Escherichia coli O25b:H4 chromosome, complete genome"
GCF_001874485.1_ASM187448v1_genomic,NZ_CP015086.1,130920,plasmid,"NZ_CP015086.1 Escherichia coli O25b:H4 plasmid unnamed, complete sequence"
GCF_001874485.1_ASM187448v1_genomic,NZ_CP015087.1,32764,plasmid,NZ_CP015087.1 Escherichia coli O25b:H4 extrachromosomal
GCF_001874485.1_ASM187448v1_genomic,NZ_CP015088.1,29509,plasmid,NZ_CP015088.1 Escherichia coli O25b:H4 extrachromosomal
GCF_951803545.1_ARM46_genomic,NZ_OX637964.1,5185826,chromosome,"NZ_OX637964.1 Escherichia coli O25b:H4-ST131 isolate 46 chromosome C, complete sequence"
GCF_951803545.1_ARM46_genomic,NZ_OX637965.1,123938,plasmid,NZ_OX637965.1 Escherichia coli O25b:H4-ST131 isolate 46 plasmid P1
GCF_951803545.1_ARM46_genomic,NZ_OX637966.1,74854,plasmid,NZ_OX637966.1 Escherichia coli O25b:H4-ST131 isolate 46 plasmid P2
GCF_951803545.1_ARM46_genomic,NZ_OX637967.1,1552,plasmid,NZ_OX637967.1 Escherichia coli O25b:H4-ST131 isolate 46 plasmid P3
GCF_024917335.1_ASM2491733v1_genomic,NZ_CP103557.1,5341056,chromosome,"NZ_CP103557.1 Escherichia coli O25b:H4-ST131 strain 4993 chromosome, complete genome"
GCF_024917335.1_ASM2491733v1_genomic,NZ_CP103558.1,125598,plasmid,"NZ_CP103558.1 Escherichia coli O25b:H4-ST131 strain 4993 plasmid pMB8413_1, complete sequence"
GCF_021559875.1_ASM2155987v1_genomic,NZ_CP056114.1,5068795,chromosome,"NZ_CP056114.1 Escherichia coli strain Ec394-330266 chromosome, complete genome"
GCF_021559875.1_ASM2155987v1_genomic,NZ_CP056115.1,128537,plasmid,"NZ_CP056115.1 Escherichia coli strain Ec394-330266 plasmid pEC394-330266_128, complete sequence"
GCF_021559875.1_ASM2155987v1_genomic,NZ_CP056116.1,1550,plasmid,"NZ_CP056116.1 Escherichia coli strain Ec394-330266 plasmid pEC394-330266_2, complete sequence"
GCF_029989825.1_ASM2998982v1_genomic,NZ_CP124353.1,5284087,chromosome,"NZ_CP124353.1 Escherichia coli strain AVS0226 chromosome, complete genome"
GCF_029989825.1_ASM2998982v1_genomic,NZ_CP124354.1,108889,plasmid,"NZ_CP124354.1 Escherichia coli strain AVS0226 plasmid pAVS0226-A, complete sequence"
GCF_030707955.1_ASM3070795v1_genomic,NZ_CP107172.1,5096686,chromosome,"NZ_CP107172.1 Escherichia coli strain R8 chromosome, complete genome"
GCF_030707955.1_ASM3070795v1_genomic,NZ_CP107173.1,149268,plasmid,"NZ_CP107173.1 Escherichia coli strain R8 plasmid pR8-318, complete sequence"
GCF_004299805.1_ASM429980v1_genomic,NZ_CP036245.1,5187769,chromosome,"NZ_CP036245.1 Escherichia coli strain S65EC chromosome, complete genome"
GCF_004299805.1_ASM429980v1_genomic,NZ_CP036244.1,146792,plasmid,"NZ_CP036244.1 Escherichia coli strain S65EC plasmid pS65EC, complete sequence"
GCF_011331215.2_ASM1133121v2_genomic,NZ_CP049085.2,5255749,chromosome,"NZ_CP049085.2 Escherichia coli strain p4A chromosome, complete genome"
GCF_029990415.1_ASM2999041v1_genomic,NZ_CP124374.1,5151251,chromosome,"NZ_CP124374.1 Escherichia coli strain AVS0578 chromosome, complete genome"
GCF_029990415.1_ASM2999041v1_genomic,NZ_CP124375.1,99789,plasmid,NZ_CP124375.1 Escherichia coli strain AVS0578 plasmid unnamed
GCF_029990415.1_ASM2999041v1_genomic,NZ_CP124376.1,94894,plasmid,"NZ_CP124376.1 Escherichia coli strain AVS0578 plasmid pAVS0578-B, complete sequence"
GCF_029990415.1_ASM2999041v1_genomic,NZ_CP124377.1,72619,plasmid,"NZ_CP124377.1 Escherichia coli strain AVS0578 plasmid pAVS0578-C, complete sequence"
GCF_029990415.1_ASM2999041v1_genomic,NZ_CP124378.1,5716,plasmid,"NZ_CP124378.1 Escherichia coli strain AVS0578 plasmid pAVS0578-D, complete sequence"
GCF_029990415.1_ASM2999041v1_genomic,NZ_CP124379.1,5630,plasmid,"NZ_CP124379.1 Escherichia coli strain AVS0578 plasmid pAVS0578-E, complete sequence"
GCF_029990415.1_ASM2999041v1_genomic,NZ_CP124380.1,5164,plasmid,"NZ_CP124380.1 Escherichia coli strain AVS0578 plasmid pAVS0578-F, complete sequence"
GCF_029990415.1_ASM2999041v1_genomic,NZ_CP124381.1,4072,plasmid,"NZ_CP124381.1 Escherichia coli strain AVS0578 plasmid pAVS0578-G, complete sequence"
GCF_029990415.1_ASM2999041v1_genomic,NZ_CP124382.1,4064,plasmid,"NZ_CP124382.1 Escherichia coli strain AVS0578 plasmid pAVS0578-H, complete sequence"
GCF_029990415.1_ASM2999041v1_genomic,NZ_CP124383.1,2101,plasmid,"NZ_CP124383.1 Escherichia coli strain AVS0578 plasmid pAVS0578-i, complete sequence"
GCF_029990415.1_ASM2999041v1_genomic,NZ_CP124384.1,1822,plasmid,"NZ_CP124384.1 Escherichia coli strain AVS0578 plasmid pAVS0578-j, complete sequence"
GCF_011330935.2_ASM1133093v2_genomic,NZ_CP049077.2,5295151,chromosome,"NZ_CP049077.2 Escherichia coli strain p11A chromosome, complete genome"
GCF_011330935.2_ASM1133093v2_genomic,NZ_CP049078.2,70739,plasmid,"NZ_CP049078.2 Escherichia coli strain p11A plasmid p11A_p1, complete sequence"
GCF_011330935.2_ASM1133093v2_genomic,NZ_CP049079.2,180962,plasmid,"NZ_CP049079.2 Escherichia coli strain p11A plasmid p11A_p2, complete sequence"
GCF_030707995.1_ASM3070799v1_genomic,NZ_CP107178.1,5297994,chromosome,"NZ_CP107178.1 Escherichia coli strain R6 chromosome, complete genome"
GCF_030707995.1_ASM3070799v1_genomic,NZ_CP107179.1,150400,plasmid,"NZ_CP107179.1 Escherichia coli strain R6 plasmid pR6-1255-1, complete sequence"
GCF_030707995.1_ASM3070799v1_genomic,NZ_CP107180.1,88703,plasmid,"NZ_CP107180.1 Escherichia coli strain R6 plasmid pR6-1255-2, complete sequence"
GCF_030707995.1_ASM3070799v1_genomic,NZ_CP107181.1,38151,plasmid,"NZ_CP107181.1 Escherichia coli strain R6 plasmid pR6-1255-3, complete sequence"
GCF_029989625.1_ASM2998962v1_genomic,NZ_CP124351.1,5285097,chromosome,"NZ_CP124351.1 Escherichia coli strain AVS0362 chromosome, complete genome"
GCF_029989625.1_ASM2998962v1_genomic,NZ_CP124352.1,105909,plasmid,"NZ_CP124352.1 Escherichia coli strain AVS0362 plasmid pAVS0362-A, complete sequence"
GCF_030707915.1_ASM3070791v1_genomic,NZ_CP107162.1,5128182,chromosome,"NZ_CP107162.1 Escherichia coli strain R10 chromosome, complete genome"
GCF_030707915.1_ASM3070791v1_genomic,NZ_CP107163.1,138672,plasmid,"NZ_CP107163.1 Escherichia coli strain R10 plasmid pR10-S4K79, complete sequence"
GCF_900520395.1_ASM90052039v1_genomic,NZ_LS992190.1,5124666,chromosome,"NZ_LS992190.1 Escherichia coli isolate Escherichia coli str. TO148 chromosome 1, complete sequence"
GCF_900520395.1_ASM90052039v1_genomic,NZ_LS992191.1,133139,plasmid,"NZ_LS992191.1 Escherichia coli isolate Escherichia coli str. TO148 plasmid 2, complete sequence"
GCF_003856695.1_ASM385669v1_genomic,NZ_CP023844.1,5144480,chromosome,"NZ_CP023844.1 Escherichia coli strain 4/1-1 chromosome, complete genome"
GCF_003856695.1_ASM385669v1_genomic,NZ_CP023845.1,181324,plasmid,"NZ_CP023845.1 Escherichia coli strain 4/1-1 plasmid p4_1_1.1, complete sequence"
GCF_003856695.1_ASM385669v1_genomic,NZ_CP023846.1,33067,plasmid,"NZ_CP023846.1 Escherichia coli strain 4/1-1 plasmid p4_1_1.2, complete sequence"
GCF_003856695.1_ASM385669v1_genomic,NZ_CP023847.1,7939,plasmid,"NZ_CP023847.1 Escherichia coli strain 4/1-1 plasmid p4_1_1.3, complete sequence"
GCF_003856695.1_ASM385669v1_genomic,NZ_CP023848.1,5167,plasmid,"NZ_CP023848.1 Escherichia coli strain 4/1-1 plasmid p4_1_1.4, complete sequence"
GCF_000493755.1_ASM49375v1_genomic,NC_022648.1,5129938,chromosome,"NC_022648.1 Escherichia coli JJ1886, complete sequence"
GCF_000493755.1_ASM49375v1_genomic,NC_022661.1,1552,plasmid,"NC_022661.1 Escherichia coli JJ1886 plasmid pJJ1886_1, complete sequence"
GCF_000493755.1_ASM49375v1_genomic,NC_022649.1,5167,plasmid,"NC_022649.1 Escherichia coli JJ1886 plasmid pJJ1886_2, complete sequence"
GCF_000493755.1_ASM49375v1_genomic,NC_022662.1,5631,plasmid,"NC_022662.1 Escherichia coli JJ1886 plasmid pJJ1886_3, complete sequence"
GCF_000493755.1_ASM49375v1_genomic,NC_022650.1,55956,plasmid,"NC_022650.1 Escherichia coli JJ1886 plasmid pJJ1886_4, complete sequence"
GCF_000493755.1_ASM49375v1_genomic,NC_022651.1,110040,plasmid,"NC_022651.1 Escherichia coli JJ1886 plasmid pJJ1886_5, complete sequence"
GCF_029990375.1_ASM2999037v1_genomic,NZ_CP124372.1,5273087,chromosome,"NZ_CP124372.1 Escherichia coli strain AVS0151 chromosome, complete genome"
GCF_029990375.1_ASM2999037v1_genomic,NZ_CP124373.1,150420,plasmid,"NZ_CP124373.1 Escherichia coli strain AVS0151 plasmid pAVS0151-A, complete sequence"
GCF_019428525.1_ASM1942852v1_genomic,NZ_CP080116.1,5112272,chromosome,"NZ_CP080116.1 Escherichia coli strain Dog168 chromosome, complete genome"
GCF_018972245.1_ASM1897224v1_genomic,NZ_CP076697.1,5052030,chromosome,"NZ_CP076697.1 Escherichia coli strain S10EC chromosome, complete genome"
GCF_018972245.1_ASM1897224v1_genomic,NZ_CP076699.1,102381,plasmid,"NZ_CP076699.1 Escherichia coli strain S10EC plasmid pS10EC_A, complete sequence"
GCF_018972245.1_ASM1897224v1_genomic,NZ_CP076698.1,34316,plasmid,"NZ_CP076698.1 Escherichia coli strain S10EC plasmid pS10EC_B, complete sequence"
GCF_018972245.1_ASM1897224v1_genomic,NZ_CP076700.1,1546,plasmid,"NZ_CP076700.1 Escherichia coli strain S10EC plasmid pS10EC_C, complete sequence"
GCF_024918415.1_ASM2491841v1_genomic,NZ_CP103672.1,5386924,chromosome,"NZ_CP103672.1 Escherichia coli O25b:H4-ST131 strain 4433 chromosome, complete genome"
GCF_024917975.1_ASM2491797v1_genomic,NZ_CP103562.1,5211978,chromosome,"NZ_CP103562.1 Escherichia coli O25b:H4-ST131 strain 751 chromosome, complete genome"
GCF_024917975.1_ASM2491797v1_genomic,NZ_CP103563.1,241084,plasmid,"NZ_CP103563.1 Escherichia coli O25b:H4-ST131 strain 751 plasmid pMB8236_1, complete sequence"
GCF_024917975.1_ASM2491797v1_genomic,NZ_CP103564.1,37348,plasmid,"NZ_CP103564.1 Escherichia coli O25b:H4-ST131 strain 751 plasmid pMB8236_2, complete sequence"
GCF_024917975.1_ASM2491797v1_genomic,NZ_CP103565.1,2101,plasmid,"NZ_CP103565.1 Escherichia coli O25b:H4-ST131 strain 751 plasmid pMB8236_3, complete sequence"
GCF_024917975.1_ASM2491797v1_genomic,NZ_CP103566.1,1902,plasmid,"NZ_CP103566.1 Escherichia coli O25b:H4-ST131 strain 751 plasmid pMB8236_4, complete sequence"
GCF_019428565.1_ASM1942856v1_genomic,NZ_CP080118.1,5168848,chromosome,"NZ_CP080118.1 Escherichia coli strain M70 chromosome, complete genome"
