,biosample_id,organism,subspecies,strain,host,host_taxid,isolation_source,env_local_scale,collected_by,geo_loc_name,collection_date,first_public,lat_lon,country,year
NZ_AP022362.1,SAMD00186874,Escherichia coli,,E302,human,,,,,Japan:Osaka,01/12/2015,,,Japan,2015.0
NZ_LS999560.1,SAMEA4786450,Escherichia coli,,,,,,,,,,28/01/2019,,,
NZ_AP022044.1,SAMD00194451,Escherichia coli,,WP4-S17-ESBL-03,,,,wastewater treatment plant,,Japan:Tokyo,10/07/2017,,35.6514 N 139.4813 E,Japan,2017.0
NZ_CP028483.1,SAMN08382661,Escherichia coli,,E41-1,human,,,,,China:Shanghai,07/02/2017,,,China,2017.0
NZ_CP103508.1,SAMN28174099,Escherichia coli O25b:H4-ST131,,5506,human,,blood,,MDACC,USA: Houston,13/11/2019,,29.7068 N 95.3971 W,USA,2019.0
NZ_CP027534.1,SAMN04014922,Escherichia coli,,AR_0081,,,,,,,,,,,
NZ_CP019000.1,SAMN05511160,Escherichia coli,,Ecol_AZ153,human,,,,AstraZeneca global surveillance study of antimicrobial resistance,China: Beijing,2013,,39.90 N 116.41 E,China,2013.0
NZ_CP018953.1,SAMN05511184,Escherichia coli,,Ecol_276,human,,,,Merck Study for Monitoring of Antimicrobial Resistance Trends (SMART),USA: Pittsburgh,2010,,40.44 N 80.00 W,USA,2010.0
NZ_CP070593.1,SAMN16933302,Escherichia coli,,ESC53083,human,,stool,,Fakultn nemocnice Hradec Krlov,Czech Republic: Hradec Krlov,19/09/2019,,50.21 N 15.82 E,Czech Republic,2019.0
NZ_CP128947.1,SAMN35768989,Escherichia coli,,TUM2826,,,,,Toho University School of Medicine,Japan,2006,,,Japan,2006.0
NZ_AP022326.1,SAMD00199041,Escherichia coli O25:H4,,18044,human,,,,,Japan,2018,,,Japan,2018.0
NZ_CP018983.1,SAMN05511148,Escherichia coli,,Ecol_867,human,,,,Merck Study for Monitoring of Antimicrobial Resistance Trends (SMART),Canada: Toronto,2013,,43.65 N 79.38 W,Canada,2013.0
